CODIGO_UNICO	NOMBRE_CARRERA	MODALIDAD_OFERTA	JORNADA	TIPO_PLAN_CARRERA	DURACION_ESTUDIOS	NIVEL_CARRERA	CODCLI	TIPO_DOC	N_DOC	DV	NIV_ACA	NIV_ACA_AUDIT_STATUS	ESTADO_EN_RUN
I162S2C118J4V1	TECNICO EN MARKETING DIGITAL	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C119J4V1	TECNICO EN RECURSOS HUMANOS	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C11J1V1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C11J2V1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C11J4V1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C124J4V1	INGENIERIA EN PREVENCION DE RIESGOS	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C124J4V2	INGENIERIA EN PREVENCION DE RIESGOS	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C125J4V1	INGENIERIA EN SEGURIDAD PRIVADA	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C125J4V2	INGENIERIA EN SEGURIDAD PRIVADA	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C13J1V1	SOPORTE DE SERVICIOS DE TELECOMUNICACIONES	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C13J2V1	SOPORTE DE SERVICIOS DE TELECOMUNICACIONES	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C1J1V1	INGENIERIA EN INFORMATICA	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C1J2V1	INGENIERIA EN INFORMATICA	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C1J2V2	INGENIERIA EN INFORMATICA	1	2	3	5	2							SIN_CODCLI_EN_RUN
I162S2C1J2V3	INGENIERIA EN INFORMATICA	1	2	3	4	2							SIN_CODCLI_EN_RUN
I162S2C1J2V4	INGENIERIA EN INFORMATICA	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C1J4V1	INGENIERIA EN INFORMATICA	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C21J1V1	INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C21J2V1	INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C22J1V1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C22J2V1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C22J2V2	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	3	4	2							SIN_CODCLI_EN_RUN
I162S2C22J4V1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C23J1V1	INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C23J2V1	INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C24J1V1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C24J2V1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J1V1	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J1V2	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J2V1	TECNICO EN PROGRAMACION COMPUTACIONAL	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J2V2	TECNICO EN PROGRAMACION COMPUTACIONAL	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J4V1	TECNICO EN PROGRAMACION COMPUTACIONAL	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C2J4V2	TECNICO EN PROGRAMACION COMPUTACIONAL	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C35J1V1	TECNICO EN ANALISIS DE SISTEMAS	1	1	1	6	1							SIN_CODCLI_EN_RUN
I162S2C35J1V2	TECNICO EN ANALISIS DE SISTEMAS	1	1	1	6	1							SIN_CODCLI_EN_RUN
I162S2C35J2V1	TECNICO EN ANALISIS DE SISTEMAS	1	2	1	6	1							SIN_CODCLI_EN_RUN
I162S2C35J2V2	TECNICO EN ANALISIS DE SISTEMAS	1	2	1	6	1							SIN_CODCLI_EN_RUN
I162S2C35J4V1	TECNICO EN ANALISIS DE SISTEMAS	3	4	1	6	1							SIN_CODCLI_EN_RUN
I162S2C35J4V2	TECNICO EN ANALISIS DE SISTEMAS	3	4	1	6	1							SIN_CODCLI_EN_RUN
I162S2C3J1V1	INGENIERIA EN CONECTIVIDAD Y REDES	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C3J1V2	INGENIERIA EN CONECTIVIDAD Y REDES	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C3J2V1	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C3J2V2	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	3	5	2							SIN_CODCLI_EN_RUN
I162S2C3J2V4	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C3J4V1	INGENIERIA EN CONECTIVIDAD Y REDES	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C40J2V1	DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL	2	2	1	2	5							SIN_CODCLI_EN_RUN
I162S2C41J2V1	DIPLOMADO EN GESTION DE PROYECTOS	1	2	1	2	5							SIN_CODCLI_EN_RUN
I162S2C46J2V2	INGENIERIA EN CIBERSEGURIDAD	1	2	3	5	2							SIN_CODCLI_EN_RUN
I162S2C46J4V2	INGENIERIA EN CIBERSEGURIDAD	3	4	3	5	2							SIN_CODCLI_EN_RUN
I162S2C48J4V1	TECNICO EN CONTROL INDUSTRIAL	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C53J3V1	DIPLOMADO EN CIBERSEGURIDAD APLICADA	2	3	1	1	5							SIN_CODCLI_EN_RUN
I162S2C63J4V1	DIPLOMADO EN ARQUITECTURA CLOUD	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C64J4V1	DIPLOMADO EN BACKEND	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C65J4V1	DIPLOMADO EN FRONTEND	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C66J4V1	DIPLOMADO EN FULLSTACK	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C67J4V1	DIPLOMADO EN QUALITY ASSURANCE	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C68J4V1	DIPLOMADO EN SEGURIDAD OFENSIVA	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C69J4V1	DIPLOMADO INFRAESTRUCTURA CLOUD	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C6J1V1	TECNICO EN CONECTIVIDAD Y REDES	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C6J1V2	TECNICO EN CONECTIVIDAD Y REDES	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C6J2V1	TECNICO EN CONECTIVIDAD Y REDES	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C6J2V2	TECNICO EN CONECTIVIDAD Y REDES	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C6J4V1	TECNICO EN CONECTIVIDAD Y REDES	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C70J4V1	DIPLOMADO REDES INDUSTRIALES	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C71J4V1	DIPLOMADO SEGURIDAD EN ARQUITECTURA DE REDES	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C77J1V1	INGENIERIA EN LOGISTICA	1	1	1	8	2							SIN_CODCLI_EN_RUN
I162S2C78J1V1	TECNICO EN ADMINISTRACION DE EMPRESAS	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C79J1V1	TECNICO EN LOGISTICA	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C83J4V2	ADMINISTRACION PUBLICA	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C86J4V2	AUDITORIA	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C87J4V1	INGENIERIA INDUSTRIAL	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C88J4V2	INGENIERIA EN CIENCIA DE DATOS	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C90J2V1	NATUROPATIA	1	2	3	4	2							SIN_CODCLI_EN_RUN
I162S2C90J2V2	NATUROPATIA	1	2	1	8	2							SIN_CODCLI_EN_RUN
I162S2C95J4V1	DIPLOMADO EN INTELIGENCIA ARTIFICIAL	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C96J4V1	DIPLOMADO EN GOBERNANZA DE DATOS	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C97J4V1	DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C98J4V1	DIPLOMADO EN HABILIDADES DIRECTIVAS PARA PROFESIONALES STEM	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C99J4V1	DIPLOMADO EN GESTION PUBLICA LOCAL	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S3C114J2V1	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S3C115J2V1	TECNICO EN FARMACIA	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S3C91J2V1	TECNICO EN ENFERMERIA	1	2	1	5	1							SIN_CODCLI_EN_RUN
